date,author,title,authors
2016-07-09 16:29:54+00:00,Ahmad A. Masoud,"Decentralized, Self-organizing, Potential field-based Control for Individuallymotivated, Mobile Agents in a Cluttered Environment: A Vector-Harmonic Potential Field Approach",Ahmad A. Masoud
2016-05-18 18:18:38+00:00,Martin Biehl,Towards information based spatiotemporal patterns as a foundation for agent representation in dynamical systems,Martin Biehl
2016-05-18 18:18:38+00:00,Takashi Ikegami,Towards information based spatiotemporal patterns as a foundation for agent representation in dynamical systems,Takashi Ikegami
2016-05-18 18:18:38+00:00,Daniel Polani,Towards information based spatiotemporal patterns as a foundation for agent representation in dynamical systems,Daniel Polani
2015-12-07 15:53:48+00:00,Tim Taylor,"Digital Genesis: Computers, Evolution and Artificial Life",Tim Taylor
2015-12-07 15:53:48+00:00,Alan Dorin,"Digital Genesis: Computers, Evolution and Artificial Life",Alan Dorin
2015-12-07 15:53:48+00:00,Kevin Korb,"Digital Genesis: Computers, Evolution and Artificial Life",Kevin Korb
2015-10-27 16:16:22+00:00,Dan Lessin,Increasing Behavioral Complexity for Evolved Virtual Creatures with the ESP Method,Dan Lessin
2015-10-27 16:16:22+00:00,Don Fussell,Increasing Behavioral Complexity for Evolved Virtual Creatures with the ESP Method,Don Fussell
2015-10-27 16:16:22+00:00,Risto Miikkulainen,Increasing Behavioral Complexity for Evolved Virtual Creatures with the ESP Method,Risto Miikkulainen
2015-10-27 16:16:22+00:00,Sebastian Risi,Increasing Behavioral Complexity for Evolved Virtual Creatures with the ESP Method,Sebastian Risi
2015-09-02 07:18:20+00:00,Norbert Bátfai,Turing's Imitation Game has been Improved,Norbert Bátfai
2015-05-14 16:03:46+00:00,U. Alvarez-Rodriguez,Artificial Life in Quantum Technologies,U. Alvarez-Rodriguez
2015-05-14 16:03:46+00:00,M. Sanz,Artificial Life in Quantum Technologies,M. Sanz
2015-05-14 16:03:46+00:00,L. Lamata,Artificial Life in Quantum Technologies,L. Lamata
2015-05-14 16:03:46+00:00,E. Solano,Artificial Life in Quantum Technologies,E. Solano
2015-03-17 16:21:07+00:00,Keyan Ghazi-Zahedi,Quantifying Morphological Computation based on an Information Decomposition of the Sensorimotor Loop,Keyan Ghazi-Zahedi
2015-03-17 16:21:07+00:00,Johannes Rauh,Quantifying Morphological Computation based on an Information Decomposition of the Sensorimotor Loop,Johannes Rauh
2014-12-20 22:35:48+00:00,Hector Zenil,Quantifying Natural and Artificial Intelligence in Robots and Natural Systems with an Algorithmic Behavioural Test,Hector Zenil
2014-11-13 23:48:47+00:00,Russell Standish,Mechanical generation of networks with surplus complexity,Russell Standish
2014-08-14 13:11:15+00:00,Joseph T. Lizier,JIDT: An information-theoretic toolkit for studying the dynamics of complex systems,Joseph T. Lizier
2014-06-10 11:00:54+00:00,Tim Taylor,WebAL-1: Workshop on Artificial Life and the Web 2014 Proceedings,Tim Taylor
2014-03-31 15:25:34+00:00,Marius Buliga,"Chemlambda, universality and self-multiplication",Marius Buliga
2014-03-31 15:25:34+00:00,Louis H. Kauffman,"Chemlambda, universality and self-multiplication",Louis H. Kauffman
2014-01-13 14:12:10+00:00,Jean-Louis Sikorav,Foundations of biology,Jean-Louis Sikorav
2014-01-13 14:12:10+00:00,Alan Braslau,Foundations of biology,Alan Braslau
2014-01-13 14:12:10+00:00,Arach Goldar,Foundations of biology,Arach Goldar
2014-01-09 19:13:02+00:00,Carlos Pedro Gonçalves,Emotional Responses in Artificial Agent-Based Systems: Reflexivity and Adaptation in Artificial Life,Carlos Pedro Gonçalves
2013-12-10 15:56:53+00:00,Norbert Rimoux,mARC: Memory by Association and Reinforcement of Contexts,Norbert Rimoux
2013-12-10 15:56:53+00:00,Patrice Descourt,mARC: Memory by Association and Reinforcement of Contexts,Patrice Descourt
2013-11-11 18:58:46+00:00,Tom Froese,Motility at the origin of life: Its characterization and a model,Tom Froese
