source,target,community
Christoph Adami,Stephane Doncieux,17
Christoph Adami,Antoine Frénoy,17
Christoph Adami,Karl Sims,17
Christoph Adami,François Taddei,17
Christoph Adami,Patryk Chrabaszcz,17
Christoph Adami,Hod Lipson,17
Christoph Adami,Fred C. Dyer,17
Christoph Adami,Eric Shulte,17
Christoph Adami,Nick Cheney,17
Christoph Adami,Robert T. Pennock,17
Christoph Adami,Peter Krcah,17
Christoph Adami,Thomas S. Ray,17
Christoph Adami,Stephan Fischer,17
Christoph Adami,David M. Bryson,17
Christoph Adami,Guillaume Beslon,17
Christoph Adami,Kai Olav Ellefsen,17
Christoph Adami,David E. Moriarty,17
Christoph Adami,Richard E. Lenski,17
Lee Altenberg,Marc Parizeau,17
Lee Altenberg,Julie Beaulieu,17
Lee Altenberg,William F. Punch,17
Lee Altenberg,Samuel Bernard,17
Lee Altenberg,Leni Le Goff,17
Lee Altenberg,Marc Schoenauer,17
Lee Altenberg,Risto Miikkulainen,17
Lee Altenberg,Babak Hodjat,17
Lee Altenberg,Danesh Tarapore,17
Lee Altenberg,Antoine Cully,17
Lee Altenberg,Robert MacCurdy,17
Lee Altenberg,Jean-Baptiste Mouret,17
Lee Altenberg,Jason Yosinski,17
Lee Altenberg,Carlos Maestre,17
Lee Altenberg,Westley Weimer,17
Lee Altenberg,Frank Hutter,17
Lee Altenberg,Simon Thibault,17
Lee Altenberg,Sara Mitri,17
Lee Altenberg,Anh Nguyen,17
Lee Altenberg,Laurent Keller,17
Lee Altenberg,Christian Gagné,17
Lee Altenberg,David Parsons,17
Lee Altenberg,Carole Knibbe,17
Lee Altenberg,Laura M. Grabowski,17
Lee Altenberg,Richard Watson,17
Lee Altenberg,Stephanie Forrest,17
Lee Altenberg,Robert Feldt,17
Lee Altenberg,Stephane Doncieux,17
Lee Altenberg,Antoine Frénoy,17
Lee Altenberg,Karl Sims,17
Lee Altenberg,François Taddei,17
Lee Altenberg,Patryk Chrabaszcz,17
Lee Altenberg,Hod Lipson,17
Lee Altenberg,Fred C. Dyer,17
Lee Altenberg,Eric Shulte,17
Lee Altenberg,Nick Cheney,17
Lee Altenberg,Robert T. Pennock,17
Lee Altenberg,Peter Krcah,17
Lee Altenberg,Thomas S. Ray,17
Lee Altenberg,Stephan Fischer,17
Lee Altenberg,David M. Bryson,17
Lee Altenberg,Guillaume Beslon,17
Lee Altenberg,Kai Olav Ellefsen,17
Lee Altenberg,David E. Moriarty,17
Lee Altenberg,Richard E. Lenski,17
Julie Beaulieu,Marc Parizeau,17
Julie Beaulieu,William F. Punch,17
Julie Beaulieu,Samuel Bernard,17
Julie Beaulieu,Leni Le Goff,17
Julie Beaulieu,Marc Schoenauer,17
Julie Beaulieu,Risto Miikkulainen,17
Julie Beaulieu,Babak Hodjat,17
Julie Beaulieu,Danesh Tarapore,17
Julie Beaulieu,Antoine Cully,17
Julie Beaulieu,Robert MacCurdy,17
Julie Beaulieu,Jean-Baptiste Mouret,17
Julie Beaulieu,Jason Yosinski,17
Julie Beaulieu,Carlos Maestre,17
Julie Beaulieu,Westley Weimer,17
Julie Beaulieu,Frank Hutter,17
Julie Beaulieu,Simon Thibault,17
Julie Beaulieu,Sara Mitri,17
Julie Beaulieu,Anh Nguyen,17
Julie Beaulieu,Laurent Keller,17
Julie Beaulieu,Christian Gagné,17
Julie Beaulieu,David Parsons,17
Julie Beaulieu,Carole Knibbe,17
Julie Beaulieu,Laura M. Grabowski,17
Julie Beaulieu,Richard Watson,17
Julie Beaulieu,Stephanie Forrest,17
Julie Beaulieu,Robert Feldt,17
Julie Beaulieu,Stephane Doncieux,17
Julie Beaulieu,Antoine Frénoy,17
Julie Beaulieu,Karl Sims,17
Julie Beaulieu,François Taddei,17
Julie Beaulieu,Patryk Chrabaszcz,17
Julie Beaulieu,Hod Lipson,17
Julie Beaulieu,Fred C. Dyer,17
Julie Beaulieu,Eric Shulte,17
Julie Beaulieu,Nick Cheney,17
Julie Beaulieu,Robert T. Pennock,17
Julie Beaulieu,Peter Krcah,17
Julie Beaulieu,Thomas S. Ray,17
Julie Beaulieu,Stephan Fischer,17
Julie Beaulieu,David M. Bryson,17
Julie Beaulieu,Guillaume Beslon,17
Julie Beaulieu,Kai Olav Ellefsen,17
Julie Beaulieu,David E. Moriarty,17
Julie Beaulieu,Richard E. Lenski,17
Samuel Bernard,Marc Parizeau,17
Samuel Bernard,William F. Punch,17
Samuel Bernard,Leni Le Goff,17
Samuel Bernard,Marc Schoenauer,17
Samuel Bernard,Risto Miikkulainen,17
Samuel Bernard,Babak Hodjat,17
Samuel Bernard,Danesh Tarapore,17
Samuel Bernard,Antoine Cully,17
Samuel Bernard,Robert MacCurdy,17
Samuel Bernard,Jean-Baptiste Mouret,17
Samuel Bernard,Jason Yosinski,17
Samuel Bernard,Carlos Maestre,17
Samuel Bernard,Westley Weimer,17
Samuel Bernard,Frank Hutter,17
Samuel Bernard,Simon Thibault,17
Samuel Bernard,Sara Mitri,17
Samuel Bernard,Anh Nguyen,17
Samuel Bernard,Laurent Keller,17
Samuel Bernard,Christian Gagné,17
Samuel Bernard,David Parsons,17
Samuel Bernard,Carole Knibbe,17
Samuel Bernard,Laura M. Grabowski,17
Samuel Bernard,Richard Watson,17
Samuel Bernard,Stephanie Forrest,17
Samuel Bernard,Robert Feldt,17
Samuel Bernard,Stephane Doncieux,17
Samuel Bernard,Antoine Frénoy,17
Samuel Bernard,Karl Sims,17
Samuel Bernard,François Taddei,17
Samuel Bernard,Patryk Chrabaszcz,17
Samuel Bernard,Hod Lipson,17
Samuel Bernard,Fred C. Dyer,17
Samuel Bernard,Eric Shulte,17
Samuel Bernard,Nick Cheney,17
Samuel Bernard,Robert T. Pennock,17
Samuel Bernard,Peter Krcah,17
Samuel Bernard,Thomas S. Ray,17
Samuel Bernard,Stephan Fischer,17
Samuel Bernard,David M. Bryson,17
Samuel Bernard,Guillaume Beslon,17
Samuel Bernard,Kai Olav Ellefsen,17
Samuel Bernard,David E. Moriarty,17
Samuel Bernard,Richard E. Lenski,17
Guillaume Beslon,Marc Parizeau,17
Guillaume Beslon,William F. Punch,17
Guillaume Beslon,Leni Le Goff,17
Guillaume Beslon,Marc Schoenauer,17
Guillaume Beslon,Risto Miikkulainen,17
Guillaume Beslon,Babak Hodjat,17
Guillaume Beslon,Danesh Tarapore,17
Guillaume Beslon,Antoine Cully,17
Guillaume Beslon,Robert MacCurdy,17
Guillaume Beslon,Jean-Baptiste Mouret,17
Guillaume Beslon,Jason Yosinski,17
Guillaume Beslon,Carlos Maestre,17
Guillaume Beslon,Westley Weimer,17
Guillaume Beslon,Frank Hutter,17
Guillaume Beslon,Simon Thibault,17
Guillaume Beslon,Sara Mitri,17
Guillaume Beslon,Anh Nguyen,17
Guillaume Beslon,Laurent Keller,17
Guillaume Beslon,Christian Gagné,17
Guillaume Beslon,David Parsons,17
Guillaume Beslon,Carole Knibbe,17
Guillaume Beslon,Laura M. Grabowski,17
Guillaume Beslon,Richard Watson,17
Guillaume Beslon,Stephanie Forrest,17
Guillaume Beslon,Robert Feldt,17
Guillaume Beslon,Stephane Doncieux,17
Guillaume Beslon,Antoine Frénoy,17
Guillaume Beslon,Karl Sims,17
Guillaume Beslon,François Taddei,17
Guillaume Beslon,Patryk Chrabaszcz,17
Guillaume Beslon,Hod Lipson,17
Guillaume Beslon,Fred C. Dyer,17
Guillaume Beslon,Eric Shulte,17
Guillaume Beslon,Nick Cheney,17
Guillaume Beslon,Robert T. Pennock,17
Guillaume Beslon,Peter Krcah,17
Guillaume Beslon,Thomas S. Ray,17
Guillaume Beslon,Stephan Fischer,17
Guillaume Beslon,David M. Bryson,17
Guillaume Beslon,Kai Olav Ellefsen,17
Guillaume Beslon,David E. Moriarty,17
Guillaume Beslon,Richard E. Lenski,17
David M. Bryson,Marc Parizeau,17
David M. Bryson,William F. Punch,17
David M. Bryson,Leni Le Goff,17
David M. Bryson,Marc Schoenauer,17
David M. Bryson,Risto Miikkulainen,17
David M. Bryson,Babak Hodjat,17
David M. Bryson,Danesh Tarapore,17
David M. Bryson,Antoine Cully,17
David M. Bryson,Robert MacCurdy,17
David M. Bryson,Jean-Baptiste Mouret,17
David M. Bryson,Jason Yosinski,17
David M. Bryson,Carlos Maestre,17
David M. Bryson,Westley Weimer,17
David M. Bryson,Frank Hutter,17
David M. Bryson,Simon Thibault,17
David M. Bryson,Sara Mitri,17
David M. Bryson,Anh Nguyen,17
David M. Bryson,Laurent Keller,17
David M. Bryson,Christian Gagné,17
David M. Bryson,David Parsons,17
David M. Bryson,Carole Knibbe,17
David M. Bryson,Laura M. Grabowski,17
David M. Bryson,Richard Watson,17
David M. Bryson,Stephanie Forrest,17
David M. Bryson,Robert Feldt,17
David M. Bryson,Stephane Doncieux,17
David M. Bryson,Antoine Frénoy,17
David M. Bryson,Karl Sims,17
David M. Bryson,François Taddei,17
David M. Bryson,Patryk Chrabaszcz,17
David M. Bryson,Hod Lipson,17
David M. Bryson,Fred C. Dyer,17
David M. Bryson,Eric Shulte,17
David M. Bryson,Nick Cheney,17
David M. Bryson,Robert T. Pennock,17
David M. Bryson,Peter Krcah,17
David M. Bryson,Thomas S. Ray,17
David M. Bryson,Stephan Fischer,17
David M. Bryson,Kai Olav Ellefsen,17
David M. Bryson,David E. Moriarty,17
David M. Bryson,Richard E. Lenski,17
Patryk Chrabaszcz,Marc Parizeau,17
Patryk Chrabaszcz,William F. Punch,17
Patryk Chrabaszcz,Leni Le Goff,17
Patryk Chrabaszcz,Marc Schoenauer,17
Patryk Chrabaszcz,Risto Miikkulainen,17
Patryk Chrabaszcz,Babak Hodjat,17
Patryk Chrabaszcz,Danesh Tarapore,17
Patryk Chrabaszcz,Antoine Cully,17
Patryk Chrabaszcz,Robert MacCurdy,17
Patryk Chrabaszcz,Jean-Baptiste Mouret,17
Patryk Chrabaszcz,Jason Yosinski,17
Patryk Chrabaszcz,Carlos Maestre,17
Patryk Chrabaszcz,Westley Weimer,17
Patryk Chrabaszcz,Frank Hutter,17
Patryk Chrabaszcz,Simon Thibault,17
Patryk Chrabaszcz,Sara Mitri,17
Patryk Chrabaszcz,Anh Nguyen,17
Patryk Chrabaszcz,Laurent Keller,17
Patryk Chrabaszcz,Christian Gagné,17
Patryk Chrabaszcz,David Parsons,17
Patryk Chrabaszcz,Carole Knibbe,17
Patryk Chrabaszcz,Laura M. Grabowski,17
Patryk Chrabaszcz,Richard Watson,17
Patryk Chrabaszcz,Stephanie Forrest,17
Patryk Chrabaszcz,Robert Feldt,17
Patryk Chrabaszcz,Stephane Doncieux,17
Patryk Chrabaszcz,Antoine Frénoy,17
Patryk Chrabaszcz,Karl Sims,17
Patryk Chrabaszcz,François Taddei,17
Patryk Chrabaszcz,Hod Lipson,17
Patryk Chrabaszcz,Fred C. Dyer,17
Patryk Chrabaszcz,Eric Shulte,17
Patryk Chrabaszcz,Nick Cheney,17
Patryk Chrabaszcz,Robert T. Pennock,17
Patryk Chrabaszcz,Peter Krcah,17
Patryk Chrabaszcz,Thomas S. Ray,17
Patryk Chrabaszcz,Stephan Fischer,17
Patryk Chrabaszcz,Kai Olav Ellefsen,17
Patryk Chrabaszcz,David E. Moriarty,17
Patryk Chrabaszcz,Richard E. Lenski,17
Nick Cheney,Marc Parizeau,17
Nick Cheney,William F. Punch,17
Nick Cheney,Leni Le Goff,17
Nick Cheney,Marc Schoenauer,17
Nick Cheney,Risto Miikkulainen,17
Nick Cheney,Babak Hodjat,17
Nick Cheney,Danesh Tarapore,17
Nick Cheney,Antoine Cully,17
Nick Cheney,Robert MacCurdy,17
Nick Cheney,Jean-Baptiste Mouret,17
Nick Cheney,Jason Yosinski,17
Nick Cheney,Carlos Maestre,17
Nick Cheney,Westley Weimer,17
Nick Cheney,Frank Hutter,17
Nick Cheney,Simon Thibault,17
Nick Cheney,Sara Mitri,17
Nick Cheney,Anh Nguyen,17
Nick Cheney,Laurent Keller,17
Nick Cheney,Christian Gagné,17
Nick Cheney,David Parsons,17
Nick Cheney,Carole Knibbe,17
Nick Cheney,Laura M. Grabowski,17
Nick Cheney,Richard Watson,17
Nick Cheney,Stephanie Forrest,17
Nick Cheney,Robert Feldt,17
Nick Cheney,Stephane Doncieux,17
Nick Cheney,Antoine Frénoy,17
Nick Cheney,Karl Sims,17
Nick Cheney,François Taddei,17
Nick Cheney,Hod Lipson,17
Nick Cheney,Fred C. Dyer,17
Nick Cheney,Eric Shulte,17
Nick Cheney,Robert T. Pennock,17
Nick Cheney,Peter Krcah,17
Nick Cheney,Thomas S. Ray,17
Nick Cheney,Stephan Fischer,17
Nick Cheney,Kai Olav Ellefsen,17
Nick Cheney,David E. Moriarty,17
Nick Cheney,Richard E. Lenski,17
Antoine Cully,Marc Parizeau,17
Antoine Cully,William F. Punch,17
Antoine Cully,Leni Le Goff,17
Antoine Cully,Marc Schoenauer,17
Antoine Cully,Risto Miikkulainen,17
Antoine Cully,Babak Hodjat,17
Antoine Cully,Danesh Tarapore,17
Antoine Cully,Robert MacCurdy,17
Antoine Cully,Jean-Baptiste Mouret,17
Antoine Cully,Jason Yosinski,17
Antoine Cully,Carlos Maestre,17
Antoine Cully,Westley Weimer,17
Antoine Cully,Frank Hutter,17
Antoine Cully,Simon Thibault,17
Antoine Cully,Sara Mitri,17
Antoine Cully,Anh Nguyen,17
Antoine Cully,Laurent Keller,17
Antoine Cully,Christian Gagné,17
Antoine Cully,David Parsons,17
Antoine Cully,Carole Knibbe,17
Antoine Cully,Laura M. Grabowski,17
Antoine Cully,Richard Watson,17
Antoine Cully,Stephanie Forrest,17
Antoine Cully,Robert Feldt,17
Antoine Cully,Stephane Doncieux,17
Antoine Cully,Antoine Frénoy,17
Antoine Cully,Karl Sims,17
Antoine Cully,François Taddei,17
Antoine Cully,Hod Lipson,17
Antoine Cully,Fred C. Dyer,17
Antoine Cully,Eric Shulte,17
Antoine Cully,Robert T. Pennock,17
Antoine Cully,Peter Krcah,17
Antoine Cully,Thomas S. Ray,17
Antoine Cully,Stephan Fischer,17
Antoine Cully,Kai Olav Ellefsen,17
Antoine Cully,David E. Moriarty,17
Antoine Cully,Richard E. Lenski,17
Stephane Doncieux,Marc Parizeau,17
Stephane Doncieux,William F. Punch,17
Stephane Doncieux,Leni Le Goff,17
Stephane Doncieux,Marc Schoenauer,17
Stephane Doncieux,Risto Miikkulainen,17
Stephane Doncieux,Babak Hodjat,17
Stephane Doncieux,Danesh Tarapore,17
Stephane Doncieux,Robert MacCurdy,17
Stephane Doncieux,Jean-Baptiste Mouret,17
Stephane Doncieux,Jason Yosinski,17
Stephane Doncieux,Carlos Maestre,17
Stephane Doncieux,Westley Weimer,17
Stephane Doncieux,Frank Hutter,17
Stephane Doncieux,Simon Thibault,17
Stephane Doncieux,Sara Mitri,17
Stephane Doncieux,Anh Nguyen,17
Stephane Doncieux,Laurent Keller,17
Stephane Doncieux,Christian Gagné,17
Stephane Doncieux,David Parsons,17
Stephane Doncieux,Carole Knibbe,17
Stephane Doncieux,Laura M. Grabowski,17
Stephane Doncieux,Richard Watson,17
Stephane Doncieux,Stephanie Forrest,17
Stephane Doncieux,Robert Feldt,17
Stephane Doncieux,Antoine Frénoy,17
Stephane Doncieux,Karl Sims,17
Stephane Doncieux,François Taddei,17
Stephane Doncieux,Hod Lipson,17
Stephane Doncieux,Fred C. Dyer,17
Stephane Doncieux,Eric Shulte,17
Stephane Doncieux,Robert T. Pennock,17
Stephane Doncieux,Peter Krcah,17
Stephane Doncieux,Thomas S. Ray,17
Stephane Doncieux,Stephan Fischer,17
Stephane Doncieux,Kai Olav Ellefsen,17
Stephane Doncieux,David E. Moriarty,17
Stephane Doncieux,Richard E. Lenski,17
Fred C. Dyer,Marc Parizeau,17
Fred C. Dyer,William F. Punch,17
Fred C. Dyer,Leni Le Goff,17
Fred C. Dyer,Marc Schoenauer,17
Fred C. Dyer,Risto Miikkulainen,17
Fred C. Dyer,Babak Hodjat,17
Fred C. Dyer,Danesh Tarapore,17
Fred C. Dyer,Robert MacCurdy,17
Fred C. Dyer,Jean-Baptiste Mouret,17
Fred C. Dyer,Jason Yosinski,17
Fred C. Dyer,Carlos Maestre,17
Fred C. Dyer,Westley Weimer,17
Fred C. Dyer,Frank Hutter,17
Fred C. Dyer,Simon Thibault,17
Fred C. Dyer,Sara Mitri,17
Fred C. Dyer,Anh Nguyen,17
Fred C. Dyer,Laurent Keller,17
Fred C. Dyer,Christian Gagné,17
Fred C. Dyer,David Parsons,17
Fred C. Dyer,Carole Knibbe,17
Fred C. Dyer,Laura M. Grabowski,17
Fred C. Dyer,Richard Watson,17
Fred C. Dyer,Stephanie Forrest,17
Fred C. Dyer,Robert Feldt,17
Fred C. Dyer,Antoine Frénoy,17
Fred C. Dyer,Karl Sims,17
Fred C. Dyer,François Taddei,17
Fred C. Dyer,Hod Lipson,17
Fred C. Dyer,Eric Shulte,17
Fred C. Dyer,Robert T. Pennock,17
Fred C. Dyer,Peter Krcah,17
Fred C. Dyer,Thomas S. Ray,17
Fred C. Dyer,Stephan Fischer,17
Fred C. Dyer,Kai Olav Ellefsen,17
Fred C. Dyer,David E. Moriarty,17
Fred C. Dyer,Richard E. Lenski,17
Kai Olav Ellefsen,Marc Parizeau,17
Kai Olav Ellefsen,William F. Punch,17
Kai Olav Ellefsen,Leni Le Goff,17
Kai Olav Ellefsen,Marc Schoenauer,17
Kai Olav Ellefsen,Risto Miikkulainen,17
Kai Olav Ellefsen,Babak Hodjat,17
Kai Olav Ellefsen,Danesh Tarapore,17
Kai Olav Ellefsen,Robert MacCurdy,17
Kai Olav Ellefsen,Jean-Baptiste Mouret,17
Kai Olav Ellefsen,Jason Yosinski,17
Kai Olav Ellefsen,Carlos Maestre,17
Kai Olav Ellefsen,Westley Weimer,17
Kai Olav Ellefsen,Frank Hutter,17
Kai Olav Ellefsen,Simon Thibault,17
Kai Olav Ellefsen,Sara Mitri,17
Kai Olav Ellefsen,Anh Nguyen,17
Kai Olav Ellefsen,Laurent Keller,17
Kai Olav Ellefsen,Christian Gagné,17
Kai Olav Ellefsen,David Parsons,17
Kai Olav Ellefsen,Carole Knibbe,17
Kai Olav Ellefsen,Laura M. Grabowski,17
Kai Olav Ellefsen,Richard Watson,17
Kai Olav Ellefsen,Stephanie Forrest,17
Kai Olav Ellefsen,Robert Feldt,17
Kai Olav Ellefsen,Antoine Frénoy,17
Kai Olav Ellefsen,Karl Sims,17
Kai Olav Ellefsen,François Taddei,17
Kai Olav Ellefsen,Hod Lipson,17
Kai Olav Ellefsen,Eric Shulte,17
Kai Olav Ellefsen,Robert T. Pennock,17
Kai Olav Ellefsen,Peter Krcah,17
Kai Olav Ellefsen,Thomas S. Ray,17
Kai Olav Ellefsen,Stephan Fischer,17
Kai Olav Ellefsen,David E. Moriarty,17
Kai Olav Ellefsen,Richard E. Lenski,17
Robert Feldt,Marc Parizeau,17
Robert Feldt,William F. Punch,17
Robert Feldt,Leni Le Goff,17
Robert Feldt,Marc Schoenauer,17
Robert Feldt,Risto Miikkulainen,17
Robert Feldt,Babak Hodjat,17
Robert Feldt,Danesh Tarapore,17
Robert Feldt,Robert MacCurdy,17
Robert Feldt,Jean-Baptiste Mouret,17
Robert Feldt,Jason Yosinski,17
Robert Feldt,Carlos Maestre,17
Robert Feldt,Westley Weimer,17
Robert Feldt,Frank Hutter,17
Robert Feldt,Simon Thibault,17
Robert Feldt,Sara Mitri,17
Robert Feldt,Anh Nguyen,17
Robert Feldt,Laurent Keller,17
Robert Feldt,Christian Gagné,17
Robert Feldt,David Parsons,17
Robert Feldt,Carole Knibbe,17
Robert Feldt,Laura M. Grabowski,17
Robert Feldt,Richard Watson,17
Robert Feldt,Stephanie Forrest,17
Robert Feldt,Karl Sims,17
Robert Feldt,Antoine Frénoy,17
Robert Feldt,François Taddei,17
Robert Feldt,Hod Lipson,17
Robert Feldt,Eric Shulte,17
Robert Feldt,Robert T. Pennock,17
Robert Feldt,Peter Krcah,17
Robert Feldt,Thomas S. Ray,17
Robert Feldt,Stephan Fischer,17
Robert Feldt,David E. Moriarty,17
Robert Feldt,Richard E. Lenski,17
Stephan Fischer,Marc Parizeau,17
Stephan Fischer,William F. Punch,17
Stephan Fischer,Leni Le Goff,17
Stephan Fischer,Marc Schoenauer,17
Stephan Fischer,Risto Miikkulainen,17
Stephan Fischer,Babak Hodjat,17
Stephan Fischer,Danesh Tarapore,17
Stephan Fischer,Robert MacCurdy,17
Stephan Fischer,Jean-Baptiste Mouret,17
Stephan Fischer,Jason Yosinski,17
Stephan Fischer,Carlos Maestre,17
Stephan Fischer,Westley Weimer,17
Stephan Fischer,Frank Hutter,17
Stephan Fischer,Simon Thibault,17
Stephan Fischer,Sara Mitri,17
Stephan Fischer,Anh Nguyen,17
Stephan Fischer,Laurent Keller,17
Stephan Fischer,Christian Gagné,17
Stephan Fischer,David Parsons,17
Stephan Fischer,Carole Knibbe,17
Stephan Fischer,Laura M. Grabowski,17
Stephan Fischer,Richard Watson,17
Stephan Fischer,Stephanie Forrest,17
Stephan Fischer,Antoine Frénoy,17
Stephan Fischer,Karl Sims,17
Stephan Fischer,François Taddei,17
Stephan Fischer,Hod Lipson,17
Stephan Fischer,Eric Shulte,17
Stephan Fischer,Robert T. Pennock,17
Stephan Fischer,Peter Krcah,17
Stephan Fischer,Thomas S. Ray,17
Stephan Fischer,David E. Moriarty,17
Stephan Fischer,Richard E. Lenski,17
Stephanie Forrest,Marc Parizeau,17
Stephanie Forrest,William F. Punch,17
Stephanie Forrest,Leni Le Goff,17
Stephanie Forrest,Marc Schoenauer,17
Stephanie Forrest,Risto Miikkulainen,17
Stephanie Forrest,Babak Hodjat,17
Stephanie Forrest,Danesh Tarapore,17
Stephanie Forrest,Robert MacCurdy,17
Stephanie Forrest,Jean-Baptiste Mouret,17
Stephanie Forrest,Jason Yosinski,17
Stephanie Forrest,Carlos Maestre,17
Stephanie Forrest,Westley Weimer,17
Stephanie Forrest,Frank Hutter,17
Stephanie Forrest,Simon Thibault,17
Stephanie Forrest,Sara Mitri,17
Stephanie Forrest,Anh Nguyen,17
Stephanie Forrest,Laurent Keller,17
Stephanie Forrest,Christian Gagné,17
Stephanie Forrest,David Parsons,17
Stephanie Forrest,Carole Knibbe,17
Stephanie Forrest,Laura M. Grabowski,17
Stephanie Forrest,Richard Watson,17
Stephanie Forrest,Antoine Frénoy,17
Stephanie Forrest,Karl Sims,17
Stephanie Forrest,François Taddei,17
Stephanie Forrest,Hod Lipson,17
Stephanie Forrest,Eric Shulte,17
Stephanie Forrest,Robert T. Pennock,17
Stephanie Forrest,Peter Krcah,17
Stephanie Forrest,Thomas S. Ray,17
Stephanie Forrest,David E. Moriarty,17
Stephanie Forrest,Richard E. Lenski,17
Antoine Frénoy,Marc Parizeau,17
Antoine Frénoy,William F. Punch,17
Antoine Frénoy,Leni Le Goff,17
Antoine Frénoy,Marc Schoenauer,17
Antoine Frénoy,Risto Miikkulainen,17
Antoine Frénoy,Babak Hodjat,17
Antoine Frénoy,Danesh Tarapore,17
Antoine Frénoy,Robert MacCurdy,17
Antoine Frénoy,Jean-Baptiste Mouret,17
Antoine Frénoy,Jason Yosinski,17
Antoine Frénoy,Carlos Maestre,17
Antoine Frénoy,Westley Weimer,17
Antoine Frénoy,Frank Hutter,17
Antoine Frénoy,Simon Thibault,17
Antoine Frénoy,Sara Mitri,17
Antoine Frénoy,Anh Nguyen,17
Antoine Frénoy,Laurent Keller,17
Antoine Frénoy,Christian Gagné,17
Antoine Frénoy,David Parsons,17
Antoine Frénoy,Carole Knibbe,17
Antoine Frénoy,Laura M. Grabowski,17
Antoine Frénoy,Richard Watson,17
Antoine Frénoy,Karl Sims,17
Antoine Frénoy,François Taddei,17
Antoine Frénoy,Hod Lipson,17
Antoine Frénoy,Eric Shulte,17
Antoine Frénoy,Robert T. Pennock,17
Antoine Frénoy,Peter Krcah,17
Antoine Frénoy,Thomas S. Ray,17
Antoine Frénoy,David E. Moriarty,17
Antoine Frénoy,Richard E. Lenski,17
Christian Gagné,Marc Parizeau,17
Christian Gagné,William F. Punch,17
Christian Gagné,Leni Le Goff,17
Christian Gagné,Marc Schoenauer,17
Christian Gagné,Risto Miikkulainen,17
Christian Gagné,Babak Hodjat,17
Christian Gagné,Danesh Tarapore,17
Christian Gagné,Robert MacCurdy,17
Christian Gagné,Jean-Baptiste Mouret,17
Christian Gagné,Jason Yosinski,17
Christian Gagné,Carlos Maestre,17
Christian Gagné,Westley Weimer,17
Christian Gagné,Frank Hutter,17
Christian Gagné,Simon Thibault,17
Christian Gagné,Sara Mitri,17
Christian Gagné,Anh Nguyen,17
Christian Gagné,Laurent Keller,17
Christian Gagné,David Parsons,17
Christian Gagné,Carole Knibbe,17
Christian Gagné,Laura M. Grabowski,17
Christian Gagné,Richard Watson,17
Christian Gagné,Karl Sims,17
Christian Gagné,François Taddei,17
Christian Gagné,Hod Lipson,17
Christian Gagné,Eric Shulte,17
Christian Gagné,Robert T. Pennock,17
Christian Gagné,Peter Krcah,17
Christian Gagné,Thomas S. Ray,17
Christian Gagné,David E. Moriarty,17
Christian Gagné,Richard E. Lenski,17
Leni Le Goff,Marc Parizeau,17
Leni Le Goff,William F. Punch,17
Leni Le Goff,Marc Schoenauer,17
Leni Le Goff,Risto Miikkulainen,17
Leni Le Goff,Babak Hodjat,17
Leni Le Goff,Danesh Tarapore,17
Leni Le Goff,Robert MacCurdy,17
Leni Le Goff,Jean-Baptiste Mouret,17
Leni Le Goff,Jason Yosinski,17
Leni Le Goff,Carlos Maestre,17
Leni Le Goff,Westley Weimer,17
Leni Le Goff,Frank Hutter,17
Leni Le Goff,Simon Thibault,17
Leni Le Goff,Sara Mitri,17
Leni Le Goff,Anh Nguyen,17
Leni Le Goff,Laurent Keller,17
Leni Le Goff,David Parsons,17
Leni Le Goff,Carole Knibbe,17
Leni Le Goff,Laura M. Grabowski,17
Leni Le Goff,Richard Watson,17
Leni Le Goff,Karl Sims,17
Leni Le Goff,François Taddei,17
Leni Le Goff,Hod Lipson,17
Leni Le Goff,Eric Shulte,17
Leni Le Goff,Robert T. Pennock,17
Leni Le Goff,Peter Krcah,17
Leni Le Goff,Thomas S. Ray,17
Leni Le Goff,David E. Moriarty,17
Leni Le Goff,Richard E. Lenski,17
Laura M. Grabowski,Marc Parizeau,17
Laura M. Grabowski,William F. Punch,17
Laura M. Grabowski,Marc Schoenauer,17
Laura M. Grabowski,Risto Miikkulainen,17
Laura M. Grabowski,Babak Hodjat,17
Laura M. Grabowski,Danesh Tarapore,17
Laura M. Grabowski,Robert MacCurdy,17
Laura M. Grabowski,Jean-Baptiste Mouret,17
Laura M. Grabowski,Jason Yosinski,17
Laura M. Grabowski,Carlos Maestre,17
Laura M. Grabowski,Westley Weimer,17
Laura M. Grabowski,Frank Hutter,17
Laura M. Grabowski,Simon Thibault,17
Laura M. Grabowski,Sara Mitri,17
Laura M. Grabowski,Anh Nguyen,17
Laura M. Grabowski,Laurent Keller,17
Laura M. Grabowski,David Parsons,17
Laura M. Grabowski,Carole Knibbe,17
Laura M. Grabowski,Richard Watson,17
Laura M. Grabowski,Karl Sims,17
Laura M. Grabowski,François Taddei,17
Laura M. Grabowski,Hod Lipson,17
Laura M. Grabowski,Eric Shulte,17
Laura M. Grabowski,Robert T. Pennock,17
Laura M. Grabowski,Peter Krcah,17
Laura M. Grabowski,Thomas S. Ray,17
Laura M. Grabowski,David E. Moriarty,17
Laura M. Grabowski,Richard E. Lenski,17
Babak Hodjat,Marc Parizeau,17
Babak Hodjat,William F. Punch,17
Babak Hodjat,Marc Schoenauer,17
Babak Hodjat,Risto Miikkulainen,17
Babak Hodjat,Danesh Tarapore,17
Babak Hodjat,Robert MacCurdy,17
